1;1158;1158;0;875708;1;1;1;1;1;1;1;300;TER;Clermont-Ferrand
1;1207;1208;1;875708;1;1;1;1;1;1;1;300;TER;Riom-Chatel-Guyon
1;1231;1233;2;875708;1;1;1;1;1;1;1;300;TER;Vichy
1;1316;1318;3;875708;1;1;1;1;1;1;1;300;TER;Roanne
1;1347;1348;4;875708;1;1;1;1;1;1;1;300;TER;Tarare
1;1422;1425;5;875708;1;1;1;1;1;1;1;300;TER;Lyon-Part-Dieu
1;1433;1433;6;875708;1;1;1;1;1;1;1;300;TER;Lyon-Perrache
2;1157;1157;0;875708;1;1;1;1;1;1;1;300;TER;Clermont-Ferrand
2;1206;1207;1;875708;1;1;1;1;1;1;1;300;TER;Riom-Chatel-Guyon
2;1228;1230;2;875708;1;1;1;1;1;1;1;300;TER;Vichy
2;1317;1319;3;875708;1;1;1;1;1;1;1;300;TER;Roanne
2;1348;1349;4;875708;1;1;1;1;1;1;1;300;TER;Tarare
2;1422;1425;5;875708;1;1;1;1;1;1;1;300;TER;Lyon-Part-Dieu
2;1433;1433;6;875708;1;1;1;1;1;1;1;300;TER;Lyon-Perrache
3;0701;0701;0;875702;1;1;1;1;1;0;0;300;TER;Clermont-Ferrand
3;0916;0919;1;875702;1;1;1;1;1;0;0;300;TER;Lyon-Part-Dieu
3;0927;0927;2;875702;1;1;1;1;1;0;0;300;TER;Lyon-Perrache
4;1757;1757;0;875718;1;1;1;1;1;0;1;300;TER;Clermont-Ferrand
4;1806;1807;1;875718;1;1;1;1;1;0;1;300;TER;Riom-Chatel-Guyon
4;1828;1830;2;875718;1;1;1;1;1;0;1;300;TER;Vichy
4;1917;1919;3;875718;1;1;1;1;1;0;1;300;TER;Roanne
4;1948;1949;4;875718;1;1;1;1;1;0;1;300;TER;Tarare
4;2022;2025;5;875718;1;1;1;1;1;0;1;300;TER;Lyon-Part-Dieu
4;2033;2033;6;875718;1;1;1;1;1;0;1;300;TER;Lyon-Perrache
5;0701;0701;0;875702;1;1;1;1;1;0;0;300;TER;Clermont-Ferrand
5;0917;0920;1;875702;1;1;1;1;1;0;0;300;TER;Lyon-Part-Dieu
5;0928;0928;2;875702;1;1;1;1;1;0;0;300;TER;Lyon-Perrache
6;1656;1656;0;875716;1;1;1;1;1;1;1;300;TER;Clermont-Ferrand
6;1704;1705;1;875716;1;1;1;1;1;1;1;300;TER;Riom-Chatel-Guyon
6;1726;1728;2;875716;1;1;1;1;1;1;1;300;TER;Vichy
